en,bg
you,Вие
to,да се
it,то
and,и
that,че
of,на
is,е
in,в
we,Ние
me,аз
this,това
he,той
for,за
my,мой
on,На
have,има
your,Вашият
do,направете
was,беше
no,не
not,не
be,бъда
are,са
re,Re
know,зная
can,мога
with,с
but,но
so,така
just,просто
there,там
here,тук
they,те
like,като
she,тя
go,отивам
if,ако
right,Точно
out,навън
about,относно
up,нагоре
now,сега
one,един
come,идвам
well,добре
her,тя
how,Как
yeah,Да
ve,Ве
will,ще
got,има
think,мисля
as,като
see,виж
did,Направих
good,добре
who,кой?
why,защо
from,от
his,Неговия
yes,Да
when,кога
going,върви
time,време
an,an
okay,добре
back,обратно
look,виж
would,би се
them,тях
where,където
were,са били
take,предприеме
then,тогава
had,имаше
or,или
been,беше
our,нашите
gonna,ще
tell,казвам
really,наистина ли
man,Човек
some,някои
